"","voted_for","gender","education"
"388","Biden","Female","Some college"
"389","Biden","Male","Post-grad"
"390","Trump","Female","High school graduate"
"391","Biden","Male","Post-grad"
"392","Trump","Female","4-year"
"393","Trump","Female","Some college"
"394","Trump","Male","Some college"
"395","Biden","Female","2-year"
"396","Trump","Male","4-year"
"397","Biden","Female","4-year"
"398","Biden","Female","Post-grad"
"399","Biden","Female","4-year"
"400","Trump","Female","4-year"
"401","Biden","Male","4-year"
"402","Biden","Male","4-year"
"403","Trump","Female","Some college"
"404","Biden","Male","2-year"
"405","Trump","Male","4-year"
"406","Trump","Male","Post-grad"
"407","Biden","Female","4-year"
"408","Biden","Male","4-year"
"409","Trump","Female","2-year"
"410","Biden","Male","Post-grad"
"411","Trump","Male","4-year"
"412","Trump","Female","Post-grad"
"413","Biden","Female","4-year"
"414","Biden","Female","2-year"
"415","Trump","Female","Some college"
"416","Trump","Female","Post-grad"
"417","Trump","Male","Some college"
"418","Biden","Female","2-year"
"419","Biden","Female","Post-grad"
"420","Biden","Female","Post-grad"
"421","Trump","Female","Post-grad"
"422","Biden","Female","Post-grad"
"423","Trump","Female","Post-grad"
"424","Trump","Female","2-year"
"425","Biden","Female","4-year"
"426","Biden","Female","Post-grad"
"427","Biden","Male","4-year"
"428","Biden","Female","2-year"
"429","Biden","Male","Post-grad"
"430","Biden","Female","Post-grad"
"431","Biden","Female","4-year"
"432","Biden","Male","Some college"
"433","Biden","Female","High school graduate"
"434","Biden","Male","4-year"
"435","Biden","Male","Post-grad"
"436","Trump","Female","4-year"
"437","Biden","Male","4-year"
"438","Trump","Male","4-year"
"439","Trump","Female","4-year"
"440","Biden","Male","Post-grad"
"441","Biden","Female","Some college"
"442","Biden","Female","4-year"
"443","Biden","Female","4-year"
"444","Biden","Female","2-year"
"445","Biden","Female","2-year"
"446","Biden","Female","Post-grad"
"447","Biden","Female","Some college"
"448","Biden","Female","Some college"
"449","Biden","Male","2-year"
"450","Biden","Female","Post-grad"
"451","Trump","Female","2-year"
"452","Biden","Female","Some college"
"453","Biden","Female","Post-grad"
"454","Trump","Male","Some college"
"455","Trump","Female","Some college"
