"","voted_for","gender","education"
"25029","Biden","Female","Post-grad"
"25030","Biden","Male","High school graduate"
"25031","Biden","Female","4-year"
"25032","Trump","Female","4-year"
"25033","Biden","Male","Some college"
"25034","Trump","Male","4-year"
"25035","Trump","Male","4-year"
"25036","Biden","Male","Post-grad"
"25037","Biden","Male","Some college"
"25038","Biden","Female","Post-grad"
"25039","Trump","Female","Some college"
"25040","Trump","Female","High school graduate"
"25041","Biden","Female","Some college"
"25042","Trump","Male","4-year"
"25043","Biden","Female","2-year"
"25044","Biden","Female","Some college"
"25045","Trump","Male","2-year"
"25046","Trump","Male","Some college"
"25047","Biden","Male","Some college"
"25048","Trump","Female","Some college"
"25049","Biden","Female","2-year"
"25050","Biden","Female","Some college"
"25051","Trump","Female","4-year"
"25052","Biden","Male","4-year"
"25053","Biden","Female","4-year"
"25054","Trump","Male","2-year"
"25055","Biden","Male","4-year"
"25056","Biden","Male","Post-grad"
"25057","Biden","Female","Post-grad"
"25058","Biden","Female","Some college"
"25059","Biden","Male","Post-grad"
"25060","Trump","Female","2-year"
"25061","Biden","Female","4-year"
"25062","Trump","Male","Post-grad"
"25063","Trump","Female","2-year"
"25064","Trump","Male","4-year"
"25065","Trump","Female","Some college"
"25066","Biden","Female","Some college"
"25067","Biden","Female","Post-grad"
"25068","Trump","Male","Post-grad"
"25069","Biden","Female","4-year"
"25070","Trump","Female","2-year"
"25071","Trump","Female","Some college"
"25072","Trump","Male","2-year"
"25073","Biden","Male","4-year"
"25074","Biden","Female","2-year"
"25075","Biden","Male","Some college"
"25076","Trump","Male","Post-grad"
"25077","Biden","Female","Some college"
"25078","Biden","Male","Post-grad"
"25079","Trump","Male","Some college"
"25080","Trump","Female","Some college"
"25081","Trump","Female","4-year"
"25082","Trump","Female","2-year"
"25083","Trump","Female","Some college"
"25084","Biden","Female","Some college"
"25085","Biden","Female","2-year"
"25086","Biden","Female","Post-grad"
"25087","Biden","Female","Some college"
"25088","Trump","Female","Some college"
"25089","Biden","Male","Post-grad"
"25090","Trump","Male","4-year"
"25091","Trump","Male","4-year"
"25092","Trump","Male","4-year"
"25093","Biden","Male","4-year"
"25094","Biden","Female","Post-grad"
"25095","Biden","Female","Post-grad"
"25096","Trump","Female","4-year"
"25097","Biden","Male","Post-grad"
"25098","Trump","Male","Some college"
"25099","Biden","Male","4-year"
"25100","Trump","Male","Post-grad"
"25101","Trump","Female","4-year"
"25102","Biden","Female","Post-grad"
"25103","Biden","Male","Post-grad"
"25104","Biden","Male","4-year"
"25105","Biden","Female","2-year"
"25106","Biden","Male","Post-grad"
"25107","Biden","Male","Post-grad"
"25108","Biden","Female","Post-grad"
"25109","Biden","Female","Post-grad"
"25110","Biden","Female","4-year"
"25111","Biden","Male","4-year"
"25112","Trump","Male","Some college"
"25113","Biden","Female","Some college"
"25114","Biden","Male","4-year"
"25115","Biden","Male","Post-grad"
"25116","Trump","Female","Post-grad"
"25117","Biden","Female","4-year"
"25118","Biden","Male","Post-grad"
"25119","Biden","Female","2-year"
"25120","Trump","Male","4-year"
"25121","Biden","Female","4-year"
"25122","Biden","Male","Some college"
"25123","Biden","Female","High school graduate"
"25124","Biden","Female","4-year"
"25125","Trump","Male","Post-grad"
"25126","Trump","Female","4-year"
"25127","Biden","Female","Post-grad"
"25128","Biden","Female","4-year"
"25129","Biden","Female","Post-grad"
"25130","Biden","Male","4-year"
"25131","Trump","Female","2-year"
"25132","Biden","Female","Post-grad"
"25133","Biden","Female","Some college"
"25134","Biden","Female","Some college"
"25135","Biden","Male","Some college"
"25136","Trump","Female","Some college"
"25137","Biden","Female","Post-grad"
"25138","Biden","Male","Post-grad"
"25139","Biden","Male","Post-grad"
"25140","Biden","Female","High school graduate"
"25141","Biden","Female","Post-grad"
"25142","Biden","Male","Some college"
"25143","Trump","Male","4-year"
"25144","Trump","Male","Post-grad"
"25145","Biden","Female","2-year"
"25146","Biden","Female","2-year"
"25147","Biden","Male","2-year"
"25148","Biden","Female","High school graduate"
"25149","Biden","Female","2-year"
"25150","Trump","Female","2-year"
"25151","Biden","Male","Some college"
"25152","Biden","Male","Post-grad"
"25153","Biden","Male","High school graduate"
"25154","Biden","Female","High school graduate"
"25155","Biden","Female","Post-grad"
"25156","Trump","Female","Post-grad"
"25157","Biden","Female","Some college"
"25158","Trump","Male","Post-grad"
"25159","Trump","Female","4-year"
"25160","Trump","Female","Post-grad"
"25161","Biden","Female","Post-grad"
"25162","Biden","Male","4-year"
"25163","Biden","Female","4-year"
"25164","Trump","Female","Post-grad"
"25165","Biden","Female","Some college"
"25166","Biden","Female","Post-grad"
"25167","Trump","Male","Post-grad"
"25168","Trump","Female","High school graduate"
"25169","Biden","Male","Post-grad"
"25170","Biden","Female","Post-grad"
"25171","Biden","Male","Post-grad"
"25172","Biden","Female","4-year"
"25173","Biden","Female","High school graduate"
"25174","Biden","Female","Post-grad"
"25175","Trump","Female","Some college"
"25176","Biden","Male","Post-grad"
"25177","Trump","Male","Some college"
"25178","Biden","Female","Post-grad"
"25179","Biden","Female","Post-grad"
"25180","Trump","Female","4-year"
"25181","Trump","Male","Post-grad"
"25182","Biden","Female","4-year"
"25183","Trump","Female","4-year"
"25184","Biden","Female","Some college"
"25185","Biden","Male","Some college"
"25186","Biden","Female","4-year"
"25187","Trump","Female","Post-grad"
"25188","Biden","Female","High school graduate"
"25189","Biden","Female","4-year"
"25190","Trump","Female","4-year"
"25191","Biden","Male","4-year"
"25192","Biden","Male","High school graduate"
"25193","Biden","Female","Post-grad"
"25194","Biden","Female","4-year"
"25195","Trump","Male","4-year"
"25196","Biden","Male","Some college"
"25197","Trump","Female","Some college"
"25198","Trump","Female","Some college"
"25199","Trump","Female","High school graduate"
"25200","Trump","Female","High school graduate"
"25201","Trump","Female","4-year"
"25202","Trump","Female","4-year"
"25203","Biden","Female","Some college"
"25204","Trump","Female","High school graduate"
"25205","Biden","Male","Post-grad"
"25206","Biden","Female","2-year"
"25207","Biden","Male","Post-grad"
"25208","Trump","Male","4-year"
"25209","Trump","Male","Post-grad"
"25210","Trump","Female","Some college"
"25211","Trump","Female","4-year"
"25212","Trump","Female","High school graduate"
"25213","Biden","Male","4-year"
"25214","Trump","Female","Some college"
"25215","Biden","Female","Post-grad"
"25216","Trump","Male","Some college"
"25217","Trump","Female","Post-grad"
"25218","Biden","Female","4-year"
"25219","Biden","Female","Some college"
"25220","Biden","Female","Post-grad"
"25221","Trump","Female","High school graduate"
"25222","Biden","Female","Some college"
"25223","Trump","Female","4-year"
"25224","Trump","Male","Some college"
"25225","Trump","Male","High school graduate"
"25226","Biden","Female","Post-grad"
"25227","Trump","Female","High school graduate"
"25228","Biden","Female","Some college"
"25229","Trump","Female","Some college"
"25230","Biden","Female","Some college"
"25231","Biden","Male","Post-grad"
"25232","Biden","Female","2-year"
"25233","Biden","Male","Some college"
"25234","Biden","Female","4-year"
"25235","Biden","Female","High school graduate"
"25236","Trump","Female","Some college"
"25237","Biden","Male","Post-grad"
"25238","Biden","Female","2-year"
"25239","Biden","Male","4-year"
"25240","Biden","Female","Post-grad"
"25241","Trump","Female","2-year"
"25242","Biden","Male","Post-grad"
"25243","Trump","Male","High school graduate"
"25244","Biden","Female","2-year"
"25245","Trump","Male","4-year"
"25246","Biden","Female","Post-grad"
"25247","Biden","Female","4-year"
"25248","Biden","Male","Post-grad"
"25249","Biden","Female","Post-grad"
"25250","Trump","Male","High school graduate"
"25251","Biden","Female","4-year"
"25252","Biden","Female","Some college"
"25253","Biden","Female","Post-grad"
"25254","Biden","Female","Post-grad"
"25255","Biden","Male","High school graduate"
"25256","Biden","Female","Post-grad"
"25257","Biden","Female","Post-grad"
"25258","Biden","Male","Some college"
"25259","Biden","Female","2-year"
"25260","Trump","Male","Some college"
"25261","Trump","Female","Some college"
"25262","Biden","Male","Some college"
"25263","Biden","Male","2-year"
"25264","Biden","Female","4-year"
"25265","Biden","Female","Some college"
"25266","Biden","Female","Post-grad"
"25267","Biden","Female","4-year"
"25268","Trump","Female","High school graduate"
"25269","Biden","Male","4-year"
"25270","Biden","Male","2-year"
"25271","Trump","Female","High school graduate"
"25272","Biden","Male","High school graduate"
"25273","Biden","Female","4-year"
"25274","Biden","Female","High school graduate"
"25275","Biden","Male","4-year"
"25276","Trump","Female","Some college"
"25277","Biden","Female","Post-grad"
"25278","Trump","Female","Some college"
"25279","Trump","Male","2-year"
"25280","Biden","Female","Post-grad"
"25281","Biden","Female","Some college"
"25282","Biden","Female","High school graduate"
"25283","Biden","Female","4-year"
"25284","Trump","Female","Some college"
"25285","Trump","Male","4-year"
"25286","Biden","Female","Post-grad"
"25287","Biden","Male","4-year"
"25288","Biden","Male","High school graduate"
"25289","Biden","Female","Post-grad"
"25290","Trump","Female","Post-grad"
"25291","Biden","Female","Some college"
"25292","Biden","Female","Post-grad"
"25293","Biden","Male","Some college"
"25294","Trump","Male","4-year"
"25295","Biden","Female","4-year"
"25296","Trump","Male","Some college"
"25297","Trump","Male","2-year"
"25298","Biden","Male","High school graduate"
"25299","Biden","Male","4-year"
"25300","Biden","Female","High school graduate"
"25301","Trump","Male","4-year"
"25302","Biden","Male","2-year"
"25303","Trump","Female","2-year"
"25304","Biden","Male","4-year"
"25305","Biden","Male","Post-grad"
"25306","Trump","Male","Some college"
"25307","Biden","Female","4-year"
"25308","Biden","Female","Some college"
"25309","Biden","Female","Post-grad"
"25310","Trump","Female","4-year"
"25311","Trump","Female","High school graduate"
"25312","Biden","Female","4-year"
"25313","Trump","Male","High school graduate"
"25314","Trump","Female","Post-grad"
"25315","Biden","Male","4-year"
"25316","Biden","Female","4-year"
"25317","Biden","Female","Some college"
"25318","Biden","Male","Some college"
"25319","Trump","Female","High school graduate"
"25320","Biden","Female","Some college"
"25321","Trump","Male","2-year"
"25322","Trump","Female","Some college"
"25323","Biden","Female","Post-grad"
"25324","Biden","Male","4-year"
"25325","Biden","Male","4-year"
"25326","Biden","Female","Post-grad"
"25327","Biden","Male","4-year"
"25328","Biden","Male","Some college"
"25329","Trump","Male","4-year"
"25330","Biden","Female","4-year"
"25331","Biden","Female","Some college"
"25332","Biden","Male","2-year"
"25333","Biden","Male","4-year"
"25334","Biden","Male","Some college"
"25335","Trump","Male","2-year"
"25336","Biden","Male","Some college"
"25337","Biden","Male","Post-grad"
"25338","Trump","Male","2-year"
"25339","Biden","Female","Post-grad"
"25340","Biden","Male","4-year"
"25341","Trump","Male","Post-grad"
"25342","Trump","Male","Post-grad"
"25343","Biden","Male","Post-grad"
"25344","Trump","Female","4-year"
"25345","Trump","Male","4-year"
"25346","Biden","Male","2-year"
"25347","Biden","Female","4-year"
"25348","Trump","Female","4-year"
"25349","Biden","Male","Post-grad"
"25350","Trump","Male","4-year"
"25351","Biden","Female","Post-grad"
"25352","Biden","Female","4-year"
"25353","Trump","Female","2-year"
"25354","Trump","Female","Some college"
"25355","Trump","Male","4-year"
"25356","Biden","Male","Post-grad"
"25357","Biden","Female","4-year"
"25358","Trump","Female","4-year"
"25359","Trump","Male","4-year"
"25360","Biden","Male","Post-grad"
"25361","Biden","Female","2-year"
"25362","Biden","Male","Some college"
"25363","Trump","Female","High school graduate"
"25364","Biden","Female","2-year"
"25365","Biden","Female","Post-grad"
"25366","Biden","Male","Some college"
"25367","Biden","Female","Post-grad"
"25368","Biden","Female","4-year"
"25369","Biden","Male","Some college"
"25370","Biden","Female","4-year"
"25371","Trump","Male","4-year"
"25372","Trump","Male","Post-grad"
"25373","Trump","Female","4-year"
"25374","Biden","Female","Post-grad"
"25375","Biden","Female","2-year"
"25376","Biden","Male","4-year"
"25377","Trump","Female","4-year"
"25378","Biden","Male","Post-grad"
"25379","Biden","Female","2-year"
"25380","Biden","Female","4-year"
"25381","Biden","Female","Some college"
"25382","Trump","Male","4-year"
"25383","Biden","Female","Post-grad"
"25384","Trump","Female","Some college"
"25385","Biden","Female","Post-grad"
"25386","Biden","Male","Some college"
"25387","Biden","Male","Some college"
"25388","Biden","Male","No HS"
"25389","Biden","Male","4-year"
"25390","Trump","Female","4-year"
"25391","Biden","Female","4-year"
"25392","Trump","Female","Post-grad"
"25393","Trump","Male","Some college"
"25394","Biden","Female","High school graduate"
"25395","Biden","Female","4-year"
"25396","Trump","Male","High school graduate"
"25397","Trump","Female","Some college"
"25398","Biden","Female","Some college"
"25399","Biden","Female","2-year"
"25400","Trump","Female","Post-grad"
"25401","Trump","Male","Post-grad"
"25402","Trump","Female","4-year"
"25403","Biden","Female","4-year"
"25404","Biden","Male","High school graduate"
"25405","Biden","Female","4-year"
"25406","Biden","Female","Post-grad"
"25407","Biden","Female","High school graduate"
"25408","Trump","Female","4-year"
"25409","Trump","Male","4-year"
"25410","Biden","Female","Some college"
"25411","Trump","Female","Some college"
"25412","Trump","Female","2-year"
"25413","Biden","Female","2-year"
"25414","Trump","Female","Some college"
"25415","Biden","Female","Post-grad"
"25416","Trump","Male","Some college"
"25417","Biden","Male","High school graduate"
"25418","Trump","Male","4-year"
"25419","Trump","Female","2-year"
"25420","Trump","Male","4-year"
"25421","Trump","Female","Post-grad"
"25422","Biden","Female","Some college"
"25423","Biden","Male","Post-grad"
"25424","Trump","Male","High school graduate"
"25425","Biden","Female","4-year"
"25426","Biden","Female","4-year"
"25427","Trump","Female","4-year"
"25428","Trump","Male","Some college"
"25429","Biden","Male","Some college"
"25430","Trump","Male","4-year"
"25431","Biden","Female","Post-grad"
"25432","Trump","Male","4-year"
"25433","Biden","Female","Post-grad"
"25434","Trump","Male","2-year"
"25435","Trump","Female","High school graduate"
"25436","Biden","Female","High school graduate"
"25437","Biden","Female","High school graduate"
"25438","Trump","Female","High school graduate"
"25439","Trump","Female","4-year"
"25440","Biden","Female","2-year"
"25441","Trump","Male","4-year"
"25442","Trump","Female","2-year"
"25443","Biden","Female","Post-grad"
"25444","Biden","Female","Some college"
"25445","Biden","Female","4-year"
"25446","Trump","Male","Post-grad"
"25447","Biden","Female","4-year"
"25448","Trump","Female","2-year"
"25449","Trump","Female","2-year"
"25450","Biden","Male","Post-grad"
"25451","Biden","Female","High school graduate"
"25452","Biden","Female","4-year"
"25453","Trump","Male","4-year"
"25454","Trump","Female","Some college"
"25455","Biden","Female","Some college"
"25456","Trump","Female","2-year"
"25457","Biden","Male","4-year"
"25458","Biden","Female","Some college"
"25459","Trump","Male","2-year"
"25460","Biden","Female","2-year"
"25461","Trump","Female","Some college"
"25462","Biden","Male","4-year"
"25463","Biden","Female","High school graduate"
"25464","Biden","Male","4-year"
"25465","Trump","Male","Some college"
"25466","Biden","Female","Post-grad"
"25467","Biden","Male","Some college"
"25468","Biden","Female","No HS"
"25469","Trump","Male","High school graduate"
"25470","Trump","Female","Some college"
"25471","Biden","Female","4-year"
"25472","Trump","Female","High school graduate"
"25473","Biden","Male","2-year"
"25474","Biden","Female","High school graduate"
"25475","Biden","Male","Some college"
"25476","Biden","Female","4-year"
"25477","Trump","Female","4-year"
"25478","Biden","Female","Some college"
"25479","Biden","Female","Post-grad"
"25480","Biden","Male","2-year"
"25481","Biden","Female","Some college"
"25482","Biden","Male","4-year"
"25483","Trump","Female","2-year"
"25484","Biden","Female","Post-grad"
"25485","Trump","Male","2-year"
"25486","Trump","Male","Some college"
"25487","Biden","Female","Some college"
"25488","Biden","Female","Some college"
"25489","Biden","Male","4-year"
"25490","Biden","Male","Some college"
"25491","Biden","Female","Some college"
"25492","Biden","Female","Post-grad"
"25493","Trump","Male","4-year"
"25494","Trump","Female","2-year"
"25495","Biden","Female","4-year"
"25496","Biden","Female","4-year"
"25497","Biden","Female","4-year"
"25498","Biden","Male","4-year"
"25499","Biden","Female","4-year"
"25500","Biden","Female","Some college"
"25501","Trump","Female","Post-grad"
"25502","Biden","Female","Some college"
"25503","Biden","Male","4-year"
"25504","Biden","Male","2-year"
"25505","Biden","Female","Post-grad"
"25506","Trump","Female","4-year"
"25507","Trump","Female","Some college"
"25508","Biden","Male","Post-grad"
"25509","Biden","Male","4-year"
"25510","Trump","Male","4-year"
"25511","Trump","Female","4-year"
"25512","Trump","Female","4-year"
"25513","Biden","Male","Post-grad"
"25514","Biden","Female","4-year"
"25515","Trump","Male","High school graduate"
"25516","Biden","Male","Some college"
"25517","Biden","Male","4-year"
"25518","Biden","Male","4-year"
"25519","Trump","Female","High school graduate"
"25520","Trump","Male","High school graduate"
"25521","Biden","Male","4-year"
"25522","Biden","Female","Some college"
"25523","Biden","Female","4-year"
"25524","Biden","Female","High school graduate"
"25525","Biden","Male","4-year"
"25526","Trump","Male","Post-grad"
"25527","Trump","Female","2-year"
"25528","Biden","Female","Some college"
"25529","Biden","Female","Some college"
"25530","Trump","Female","No HS"
"25531","Biden","Female","Post-grad"
"25532","Biden","Male","Post-grad"
"25533","Biden","Female","4-year"
"25534","Trump","Male","2-year"
"25535","Biden","Female","High school graduate"
"25536","Biden","Male","Post-grad"
"25537","Trump","Female","2-year"
"25538","Trump","Female","Some college"
"25539","Biden","Female","2-year"
"25540","Biden","Female","High school graduate"
"25541","Biden","Male","2-year"
"25542","Biden","Female","4-year"
"25543","Trump","Male","High school graduate"
"25544","Trump","Female","4-year"
"25545","Biden","Male","4-year"
"25546","Trump","Female","2-year"
"25547","Biden","Female","2-year"
"25548","Trump","Female","2-year"
"25549","Biden","Male","4-year"
"25550","Biden","Male","Some college"
"25551","Trump","Male","4-year"
"25552","Trump","Female","High school graduate"
"25553","Trump","Female","2-year"
"25554","Biden","Female","Post-grad"
"25555","Biden","Female","4-year"
"25556","Biden","Female","4-year"
"25557","Biden","Female","4-year"
"25558","Trump","Female","High school graduate"
"25559","Trump","Male","Some college"
"25560","Biden","Male","Some college"
"25561","Biden","Female","4-year"
"25562","Trump","Female","High school graduate"
"25563","Biden","Female","4-year"
"25564","Biden","Female","Post-grad"
"25565","Trump","Female","High school graduate"
"25566","Biden","Male","4-year"
"25567","Biden","Female","2-year"
"25568","Trump","Female","4-year"
"25569","Biden","Female","4-year"
"25570","Trump","Male","Post-grad"
"25571","Biden","Female","2-year"
"25572","Biden","Male","4-year"
"25573","Biden","Female","Some college"
"25574","Biden","Female","Post-grad"
"25575","Biden","Female","High school graduate"
"25576","Trump","Female","2-year"
"25577","Trump","Female","2-year"
"25578","Biden","Female","4-year"
"25579","Trump","Male","Some college"
"25580","Biden","Female","Post-grad"
"25581","Trump","Female","4-year"
"25582","Trump","Female","4-year"
"25583","Biden","Female","Some college"
"25584","Trump","Male","4-year"
"25585","Biden","Female","Some college"
"25586","Biden","Female","4-year"
"25587","Biden","Female","High school graduate"
"25588","Biden","Male","Some college"
"25589","Biden","Female","Post-grad"
"25590","Trump","Female","Post-grad"
"25591","Trump","Male","4-year"
"25592","Trump","Male","High school graduate"
"25593","Biden","Female","4-year"
"25594","Biden","Male","4-year"
"25595","Trump","Male","Post-grad"
"25596","Biden","Female","4-year"
"25597","Trump","Female","2-year"
"25598","Biden","Male","High school graduate"
"25599","Biden","Female","4-year"
"25600","Biden","Male","Post-grad"
"25601","Biden","Female","High school graduate"
"25602","Trump","Female","4-year"
"25603","Trump","Male","4-year"
"25604","Biden","Female","High school graduate"
"25605","Biden","Female","4-year"
"25606","Biden","Female","4-year"
"25607","Biden","Female","4-year"
"25608","Trump","Male","High school graduate"
"25609","Trump","Female","2-year"
"25610","Biden","Male","Post-grad"
"25611","Biden","Female","Some college"
"25612","Biden","Female","No HS"
"25613","Biden","Female","Some college"
"25614","Biden","Female","Post-grad"
"25615","Trump","Female","Some college"
"25616","Biden","Male","4-year"
"25617","Biden","Female","4-year"
"25618","Biden","Female","4-year"
"25619","Biden","Female","Some college"
"25620","Biden","Male","Post-grad"
"25621","Biden","Female","Post-grad"
"25622","Biden","Female","Some college"
"25623","Biden","Male","Some college"
"25624","Trump","Female","4-year"
"25625","Biden","Female","4-year"
"25626","Biden","Female","Some college"
"25627","Biden","Female","4-year"
"25628","Trump","Male","High school graduate"
"25629","Biden","Female","4-year"
"25630","Trump","Female","2-year"
"25631","Trump","Male","2-year"
"25632","Biden","Female","2-year"
"25633","Trump","Male","High school graduate"
"25634","Biden","Female","Some college"
"25635","Trump","Male","High school graduate"
"25636","Trump","Male","Some college"
"25637","Biden","Male","4-year"
"25638","Biden","Male","Post-grad"
"25639","Trump","Female","High school graduate"
"25640","Biden","Male","High school graduate"
"25641","Biden","Male","4-year"
"25642","Biden","Male","4-year"
"25643","Biden","Female","Post-grad"
"25644","Trump","Male","2-year"
"25645","Trump","Male","High school graduate"
"25646","Trump","Male","Post-grad"
"25647","Biden","Male","High school graduate"
"25648","Trump","Male","High school graduate"
"25649","Trump","Female","High school graduate"
"25650","Biden","Female","High school graduate"
"25651","Trump","Female","2-year"
"25652","Biden","Male","Post-grad"
"25653","Biden","Male","Some college"
"25654","Biden","Male","Some college"
"25655","Trump","Female","2-year"
"25656","Biden","Female","2-year"
"25657","Biden","Female","Post-grad"
"25658","Biden","Male","Post-grad"
"25659","Biden","Male","Some college"
"25660","Biden","Male","2-year"
"25661","Biden","Female","2-year"
"25662","Biden","Female","Some college"
"25663","Biden","Male","4-year"
"25664","Biden","Female","Post-grad"
"25665","Biden","Female","2-year"
"25666","Trump","Female","Post-grad"
"25667","Biden","Male","Post-grad"
"25668","Biden","Male","High school graduate"
"25669","Trump","Male","Some college"
"25670","Trump","Female","4-year"
"25671","Biden","Male","2-year"
"25672","Biden","Female","Post-grad"
"25673","Biden","Female","Some college"
"25674","Biden","Female","Post-grad"
"25675","Biden","Male","4-year"
"25676","Biden","Female","Post-grad"
"25677","Trump","Female","2-year"
"25678","Trump","Male","High school graduate"
"25679","Trump","Male","4-year"
"25680","Biden","Female","No HS"
"25681","Trump","Male","Some college"
"25682","Biden","Female","Post-grad"
"25683","Biden","Female","Post-grad"
"25684","Biden","Female","Post-grad"
"25685","Biden","Male","4-year"
"25686","Trump","Female","2-year"
"25687","Biden","Male","4-year"
"25688","Trump","Female","No HS"
"25689","Trump","Male","Some college"
"25690","Biden","Male","High school graduate"
"25691","Biden","Male","Some college"
"25692","Trump","Male","2-year"
"25693","Trump","Female","4-year"
"25694","Trump","Male","Some college"
"25695","Trump","Male","2-year"
"25696","Trump","Male","High school graduate"
"25697","Biden","Female","Post-grad"
"25698","Biden","Female","Post-grad"
"25699","Biden","Female","Post-grad"
"25700","Biden","Female","Post-grad"
"25701","Trump","Female","4-year"
"25702","Biden","Female","Post-grad"
"25703","Biden","Male","Post-grad"
"25704","Biden","Male","Post-grad"
"25705","Biden","Female","High school graduate"
"25706","Biden","Female","4-year"
"25707","Biden","Female","2-year"
"25708","Trump","Male","4-year"
"25709","Trump","Male","4-year"
"25710","Biden","Female","Post-grad"
"25711","Trump","Male","2-year"
"25712","Trump","Male","High school graduate"
"25713","Trump","Male","Some college"
"25714","Trump","Male","Post-grad"
"25715","Biden","Female","4-year"
"25716","Biden","Male","Post-grad"
"25717","Trump","Female","4-year"
"25718","Biden","Male","Some college"
"25719","Biden","Male","Some college"
"25720","Biden","Female","4-year"
"25721","Biden","Female","High school graduate"
"25722","Trump","Female","No HS"
"25723","Trump","Male","4-year"
"25724","Biden","Male","4-year"
"25725","Biden","Male","2-year"
"25726","Biden","Male","Some college"
"25727","Biden","Female","Some college"
"25728","Biden","Male","Some college"
"25729","Trump","Female","High school graduate"
"25730","Biden","Male","2-year"
"25731","Trump","Male","2-year"
"25732","Biden","Female","High school graduate"
"25733","Trump","Female","High school graduate"
"25734","Biden","Male","4-year"
"25735","Trump","Male","4-year"
"25736","Trump","Female","2-year"
"25737","Biden","Female","Post-grad"
"25738","Biden","Male","High school graduate"
"25739","Biden","Male","Post-grad"
"25740","Trump","Female","High school graduate"
"25741","Biden","Male","Post-grad"
"25742","Biden","Male","Some college"
"25743","Trump","Male","4-year"
"25744","Biden","Male","High school graduate"
"25745","Biden","Male","4-year"
"25746","Biden","Female","Some college"
"25747","Trump","Female","Some college"
"25748","Biden","Male","4-year"
"25749","Trump","Male","Some college"
"25750","Trump","Male","2-year"
"25751","Trump","Male","Some college"
"25752","Biden","Female","4-year"
"25753","Biden","Male","Post-grad"
"25754","Trump","Female","High school graduate"
"25755","Biden","Male","Some college"
"25756","Trump","Female","High school graduate"
"25757","Biden","Female","Some college"
"25758","Trump","Female","4-year"
"25759","Biden","Male","Post-grad"
"25760","Trump","Female","2-year"
"25761","Biden","Male","Post-grad"
"25762","Trump","Female","Some college"
"25763","Trump","Male","4-year"
"25764","Trump","Female","2-year"
"25765","Trump","Female","2-year"
"25766","Biden","Male","4-year"
"25767","Biden","Female","High school graduate"
"25768","Biden","Female","Some college"
"25769","Trump","Female","Some college"
"25770","Biden","Male","High school graduate"
"25771","Biden","Male","Post-grad"
"25772","Biden","Male","Post-grad"
"25773","Biden","Female","2-year"
"25774","Trump","Female","2-year"
"25775","Biden","Male","Post-grad"
"25776","Trump","Female","4-year"
"25777","Trump","Male","2-year"
"25778","Biden","Male","Some college"
"25779","Trump","Female","Some college"
"25780","Biden","Male","4-year"
"25781","Biden","Female","Post-grad"
"25782","Trump","Female","2-year"
"25783","Biden","Male","High school graduate"
"25784","Biden","Male","Some college"
"25785","Biden","Male","Some college"
"25786","Biden","Female","High school graduate"
"25787","Biden","Female","Some college"
"25788","Biden","Female","4-year"
"25789","Biden","Male","2-year"
"25790","Biden","Female","High school graduate"
"25791","Trump","Male","High school graduate"
"25792","Biden","Male","Some college"
"25793","Trump","Female","Post-grad"
"25794","Biden","Female","Post-grad"
"25795","Biden","Female","4-year"
"25796","Trump","Female","2-year"
"25797","Biden","Male","4-year"
"25798","Biden","Male","High school graduate"
"25799","Biden","Female","Post-grad"
"25800","Biden","Male","High school graduate"
"25801","Trump","Female","High school graduate"
"25802","Biden","Male","4-year"
"25803","Biden","Male","2-year"
"25804","Biden","Female","4-year"
"25805","Trump","Male","High school graduate"
"25806","Biden","Male","4-year"
"25807","Trump","Male","2-year"
"25808","Trump","Male","Some college"
"25809","Trump","Male","Some college"
"25810","Trump","Female","No HS"
"25811","Biden","Female","4-year"
"25812","Trump","Male","4-year"
"25813","Biden","Female","Some college"
"25814","Trump","Female","4-year"
"25815","Biden","Male","Some college"
"25816","Trump","Male","High school graduate"
"25817","Trump","Male","4-year"
"25818","Trump","Male","4-year"
"25819","Trump","Male","Some college"
"25820","Biden","Female","2-year"
"25821","Biden","Male","Some college"
"25822","Biden","Female","High school graduate"
"25823","Trump","Male","Some college"
"25824","Biden","Male","Post-grad"
"25825","Biden","Female","2-year"
"25826","Biden","Female","High school graduate"
"25827","Biden","Male","High school graduate"
"25828","Biden","Male","Some college"
"25829","Biden","Male","Some college"
"25830","Biden","Male","Some college"
"25831","Biden","Male","Some college"
"25832","Biden","Female","Post-grad"
"25833","Biden","Female","4-year"
"25834","Biden","Male","4-year"
"25835","Trump","Male","High school graduate"
"25836","Biden","Male","2-year"
"25837","Trump","Female","4-year"
"25838","Trump","Male","Some college"
"25839","Biden","Male","Some college"
"25840","Biden","Female","Post-grad"
"25841","Trump","Female","4-year"
"25842","Biden","Male","Post-grad"
"25843","Trump","Female","No HS"
"25844","Biden","Male","4-year"
"25845","Trump","Male","4-year"
"25846","Trump","Male","2-year"
"25847","Trump","Male","High school graduate"
"25848","Biden","Male","2-year"
"25849","Trump","Male","4-year"
"25850","Biden","Female","Post-grad"
"25851","Biden","Male","Post-grad"
"25852","Biden","Female","Some college"
"25853","Biden","Male","2-year"
"25854","Trump","Female","2-year"
"25855","Biden","Male","Some college"
"25856","Biden","Female","4-year"
"25857","Biden","Male","Post-grad"
"25858","Biden","Male","4-year"
"25859","Biden","Female","Post-grad"
"25860","Biden","Female","2-year"
"25861","Trump","Male","Some college"
"25862","Trump","Male","Some college"
"25863","Biden","Male","Post-grad"
"25864","Biden","Female","Post-grad"
"25865","Biden","Female","Post-grad"
